날짜,"선물국채3년_외국인거래량
(매수)","선물국채3년_외국인거래량
(매도)"
2017/04/14,"20,572","20,406"
2017/04/13,"30,136","32,537"
2017/04/12,"27,980","30,024"
2017/04/11,"31,212","30,160"
2017/04/10,"26,604","30,528"
2017/04/07,"43,686","50,967"
2017/04/06,"22,992","29,162"
2017/04/05,"15,839","11,588"
2017/04/04,"17,536","13,442"
2017/04/03,"18,468","19,212"
2017/03/31,"24,321","16,674"
2017/03/30,"18,828","18,477"
2017/03/29,"24,804","21,277"
2017/03/28,"17,844","14,914"
2017/03/27,"20,854","14,000"
2017/03/24,"17,802","17,764"
2017/03/23,"15,197","12,006"
2017/03/22,"37,673","35,313"
2017/03/21,"50,378","32,927"
2017/03/20,"172,499","164,030"
2017/03/17,"141,806","134,071"
2017/03/16,"113,342","90,077"
2017/03/15,"36,012","38,216"
2017/03/14,"32,172","34,847"
2017/03/13,"20,800","25,429"
2017/03/10,"29,344","34,929"
2017/03/09,"19,315","30,253"
2017/03/08,"27,349","39,915"
2017/03/07,"47,414","51,669"
2017/03/06,"25,511","33,198"
2017/03/03,"18,724","20,349"
2017/03/02,"31,358","40,842"
2017/02/28,"13,326","13,179"
2017/02/27,"19,101","19,935"
2017/02/24,"31,417","29,546"
2017/02/23,"22,688","24,267"
2017/02/22,"26,888","30,023"
2017/02/21,"16,146","14,135"
2017/02/20,"17,854","23,725"
2017/02/17,"10,088","11,088"
2017/02/16,"17,621","17,302"
2017/02/15,"12,796","17,397"
2017/02/14,"16,602","21,228"
2017/02/13,"13,092","16,936"
2017/02/10,"9,494","14,025"
2017/02/09,"14,902","16,111"
2017/02/08,"19,954","18,845"
2017/02/07,"34,118","22,877"
2017/02/06,"21,334","19,432"
2017/02/03,"14,459","17,992"
2017/02/02,"23,353","27,143"
2017/02/01,"18,018","21,397"
2017/01/31,"21,024","25,373"
2017/01/26,"25,921","33,232"
2017/01/25,"11,871","20,281"
2017/01/24,"20,352","16,121"
2017/01/23,"23,230","22,130"
2017/01/20,"31,326","34,018"
2017/01/19,"18,565","28,245"
2017/01/18,"21,715","25,171"
2017/01/17,"20,294","24,790"
2017/01/16,"17,116","12,144"
2017/01/13,"25,446","35,243"
2017/01/12,"24,135","24,167"
2017/01/11,"19,527","21,628"
2017/01/10,"19,268","18,434"
2017/01/09,"18,230","17,808"
2017/01/06,"35,896","32,045"
2017/01/05,"24,959","22,314"
2017/01/04,"21,484","20,833"
2017/01/03,"15,768","13,703"
2017/01/02,"11,672","9,841"
2016/12/29,"19,033","17,724"
2016/12/28,"8,557","6,191"
2016/12/27,"9,582","9,550"
2016/12/26,"4,509","5,199"
2016/12/23,"19,696","22,602"
2016/12/22,"22,461","21,150"
2016/12/21,"27,849","17,652"
2016/12/20,"53,162","52,357"
2016/12/19,"160,758","169,857"
2016/12/16,"150,149","149,277"
2016/12/15,"83,255","87,337"
2016/12/14,"22,257","23,547"
2016/12/13,"20,748","19,978"
2016/12/12,"17,767","15,605"
2016/12/09,"17,493","26,368"
2016/12/08,"17,685","15,299"
2016/12/07,"17,701","20,307"
2016/12/06,"27,131","24,421"
2016/12/05,"24,344","25,791"
2016/12/02,"26,133","23,505"
2016/12/01,"43,580","37,103"
2016/11/30,"24,345","29,160"
2016/11/29,"25,935","32,318"
2016/11/28,"38,429","32,515"
2016/11/25,"31,938","36,855"
2016/11/24,"26,840","41,166"
2016/11/23,"24,191","26,758"
2016/11/22,"40,688","30,341"
2016/11/21,"30,977","28,152"
2016/11/18,"59,513","54,679"
2016/11/17,"46,173","41,498"
2016/11/16,"51,805","45,682"
2016/11/15,"70,073","64,462"
2016/11/14,"46,598","44,864"
2016/11/11,"41,578","45,170"
2016/11/10,"48,875","53,125"
2016/11/09,"67,684","62,085"
2016/11/08,"31,928","28,165"
2016/11/07,"39,165","24,307"
2016/11/04,"33,512","30,744"
2016/11/03,"41,816","47,018"
2016/11/02,"36,045","38,780"
2016/11/01,"30,779","33,370"
2016/10/31,"28,228","26,070"
2016/10/28,"27,673","32,082"
2016/10/27,"29,045","32,651"
2016/10/26,"31,606","37,735"
2016/10/25,"18,109","19,053"
2016/10/24,"29,553","31,631"
2016/10/21,"29,160","36,309"
2016/10/20,"10,026","10,348"
2016/10/19,"20,085","18,248"
2016/10/18,"14,023","25,312"
2016/10/17,"16,287","18,404"
2016/10/14,"25,720","33,721"
2016/10/13,"33,872","32,608"
2016/10/12,"21,396","28,702"
2016/10/11,"26,045","35,030"
2016/10/10,"14,873","21,905"
2016/10/07,"14,518","17,742"
2016/10/06,"12,898","19,104"
2016/10/05,"13,910","23,676"
2016/10/04,"18,268","23,515"
2016/09/30,"40,848","26,103"
2016/09/29,"19,761","15,046"
2016/09/28,"14,559","11,200"
2016/09/27,"11,842","15,676"
2016/09/26,"12,766","8,942"
2016/09/23,"15,386","13,297"
2016/09/22,"12,401","11,536"
2016/09/21,"25,684","24,335"
2016/09/20,"50,039","49,262"
2016/09/19,"155,701","150,405"
2016/09/13,"120,582","120,956"
2016/09/12,"60,085","63,078"
2016/09/09,"24,990","36,165"
2016/09/08,"16,233","17,729"
2016/09/07,"13,966","10,691"
2016/09/06,"12,731","12,872"
2016/09/05,"5,364","15,481"
2016/09/02,"14,632","20,552"
2016/09/01,"31,067","35,714"
2016/08/31,"19,251","36,189"
2016/08/30,"12,552","14,732"
2016/08/29,"7,177","18,781"
2016/08/26,"8,523","13,486"
2016/08/25,"7,570","7,602"
2016/08/24,"2,100","3,589"
2016/08/23,"4,995","4,494"
2016/08/22,"11,380","6,386"
2016/08/19,"13,412","11,557"
2016/08/18,"7,571","7,916"
2016/08/17,"15,992","11,597"
2016/08/16,"10,214","5,988"
2016/08/12,"4,459","6,166"
2016/08/11,"15,952","21,141"
2016/08/10,"13,023","10,429"
2016/08/09,"6,657","7,505"
2016/08/08,"19,866","16,745"
2016/08/05,"9,268","8,056"
2016/08/04,"16,020","22,307"
2016/08/03,"16,937","33,171"
2016/08/02,"14,069","14,311"
2016/08/01,"11,629","11,193"
2016/07/29,"25,690","22,686"
2016/07/28,"10,103","8,496"
2016/07/27,"16,296","17,476"
2016/07/26,"11,582","13,187"
2016/07/25,"14,617","7,687"
2016/07/22,"10,065","9,553"
2016/07/21,"9,587","14,872"
2016/07/20,"11,704","11,177"
2016/07/19,"23,912","14,521"
2016/07/18,"15,533","10,613"
2016/07/15,"16,376","19,067"
2016/07/14,"21,721","19,620"
2016/07/13,"24,811","16,683"
2016/07/12,"12,519","14,842"
2016/07/11,"11,553","12,000"
2016/07/08,"19,840","16,025"
2016/07/07,"18,536","15,419"
2016/07/06,"20,600","20,513"
2016/07/05,"24,033","24,810"
2016/07/04,"17,624","16,728"
2016/07/01,"20,343","20,254"
2016/06/30,"18,015","16,921"
2016/06/29,"22,402","23,646"
2016/06/28,"22,383","27,737"
2016/06/27,"36,890","35,925"
2016/06/24,"79,089","78,574"
2016/06/23,"20,832","17,685"
2016/06/22,"13,679","14,306"
2016/06/21,"53,068","57,869"
2016/06/20,"180,850","181,776"
2016/06/17,"334,595","331,620"
2016/06/16,"37,872","42,660"
2016/06/15,"31,904","31,200"
2016/06/14,"27,696","26,873"
2016/06/13,"19,052","20,913"
2016/06/10,"25,136","18,503"
2016/06/09,"68,815","58,693"
2016/06/08,"34,320","25,246"
2016/06/07,"33,676","19,497"
2016/06/03,"18,383","14,976"
2016/06/02,"9,345","10,020"
2016/06/01,"40,105","38,775"
2016/05/31,"16,387","20,720"
2016/05/30,"20,099","42,686"
2016/05/27,"13,351","21,255"
2016/05/26,"17,019","20,289"
2016/05/25,"17,680","20,079"
2016/05/24,"39,825","34,928"
2016/05/23,"22,533","17,745"
2016/05/20,"17,102","25,288"
2016/05/19,"26,774","42,120"
2016/05/18,"22,685","30,734"
2016/05/17,"18,684","19,207"
2016/05/16,"23,177","12,882"
2016/05/13,"45,766","49,185"
2016/05/12,"24,868","26,929"
2016/05/11,"17,133","16,962"
2016/05/10,"17,296","11,713"
2016/05/09,"31,376","19,398"
2016/05/04,"20,404","12,543"
2016/05/03,"27,102","21,442"
2016/05/02,"15,067","19,494"
2016/04/29,"17,444","20,309"
2016/04/28,"40,134","35,491"
2016/04/27,"23,722","19,035"
2016/04/26,"18,888","17,141"
2016/04/25,"23,651","22,025"
2016/04/22,"51,035","46,759"
2016/04/21,"19,326","28,946"
2016/04/20,"38,112","36,301"
2016/04/19,"48,306","49,402"
2016/04/18,"25,511","26,131"
2016/04/15,"28,065","32,758"
2016/04/14,"30,973","47,468"
2016/04/12,"8,775","11,985"
2016/04/11,"26,903","20,544"
2016/04/08,"29,404","26,769"
2016/04/07,"26,072","26,910"
2016/04/06,"18,262","21,071"
2016/04/05,"23,589","24,042"
2016/04/04,"14,803","14,751"
2016/04/01,"31,846","29,389"
2016/03/31,"34,470","29,374"
2016/03/30,"31,362","26,151"
2016/03/29,"34,196","23,400"
2016/03/28,"21,385","16,197"
2016/03/25,"13,615","15,547"
2016/03/24,"16,535","13,250"
2016/03/23,"18,163","19,224"
2016/03/22,"14,378","17,681"
2016/03/21,"19,612","17,616"
2016/03/18,"25,684","28,936"
2016/03/17,"36,665","32,449"
2016/03/16,"28,452","32,502"
2016/03/15,"69,453","73,526"
2016/03/14,"160,326","159,209"
2016/03/11,"222,715","237,654"
2016/03/10,"82,881","99,173"
2016/03/09,"18,649","19,635"
2016/03/08,"22,974","22,986"
2016/03/07,"25,714","26,861"
2016/03/04,"26,173","24,649"
2016/03/03,"24,558","33,271"
2016/03/02,"16,848","14,979"
2016/02/29,"19,844","14,719"
2016/02/26,"17,818","14,837"
2016/02/25,"19,539","19,957"
2016/02/24,"24,610","23,012"
2016/02/23,"16,422","18,923"
2016/02/22,"16,347","13,061"
2016/02/19,"28,608","27,183"
2016/02/18,"19,088","23,777"
2016/02/17,"22,173","30,047"
2016/02/16,"40,389","39,037"
2016/02/15,"30,856","28,643"
2016/02/12,"47,143","50,586"
2016/02/11,"33,687","34,924"
2016/02/05,"22,735","20,332"
2016/02/04,"20,482","25,513"
2016/02/03,"38,464","27,846"
2016/02/02,"40,114","34,608"
2016/02/01,"37,684","37,943"
2016/01/29,"54,846","43,951"
2016/01/28,"29,602","40,698"
2016/01/27,"26,195","30,368"
2016/01/26,"22,670","21,173"
2016/01/25,"19,784","23,378"
2016/01/22,"34,365","30,515"
2016/01/21,"28,817","31,290"
2016/01/20,"40,095","48,667"
2016/01/19,"31,174","29,953"
2016/01/18,"41,322","29,299"
2016/01/15,"27,264","31,788"
2016/01/14,"38,092","36,876"
